Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
6D1,27.0,7.584,SHWR,1.935,52.308,633.95,9.950000000000045,0.8404900146749187,1.6263481783959677,12.334224584955018,634.0764,1.0,14.67504
6D1,27.0,5.718999999999999,SHWR,1.8869999999999998,52.308,634.14,10.139999999999986,0.8404900146749187,1.5860046576915714,9.070360637338096,634.2353166666667,1.0,10.791752999999998
6D1,27.0,5.222,SHWR,2.0,52.308,637.38,13.379999999999995,0.8404900146749187,1.6809800293498374,8.778077713264851,637.4670333333333,1.0,10.444
6D1,27.0,13.055,SHWR,2.0,52.308,642.0,18.0,0.8404900146749187,1.6809800293498374,21.945194283162127,642.2175833333333,1.0,26.11
4D4,27.0,5.632999999999999,SHWR,2.0,52.308,643.46,19.460000000000036,0.8404900146749187,1.6809800293498374,9.468960505327633,643.5538833333334,1.0,11.265999999999998
6D1,27.0,3.73,SHWR,1.662,52.308,644.3,20.299999999999955,0.8404900146749187,1.3968944043897147,5.210416128373636,644.3621666666667,1.0,6.19926
4D1,28.0,15.833,SHWR,2.0,52.3065,654.41,6.409999999999968,0.8404938310989177,1.6809876621978355,26.61507765557833,654.6738833333333,1.0,31.666
4D1,28.0,5.40000000000191,SHWR,2.0,52.3065,654.81,6.809999999999945,0.8404938310989177,1.6809876621978355,9.077333375871522,654.9,3.0,10.80000000000382
4D5,28.0,5.595000000000709,SHWRSHWR,4.0,52.3065,654.9,6.899999999999977,0.8404938310989177,3.361975324395671,18.810251939996164,654.99325,3.0,22.380000000002838
4D1,28.0,2.504999999998745,SHWR,2.0,52.3065,654.99325,6.993249999999989,0.8404938310989177,1.6809876621978355,4.210874093803468,655.035,3.0,5.00999999999749
4D5,28.0,6.341,SHWR,1.38,52.3065,655.18,7.17999999999995,0.8404938310989177,1.1598814869165064,7.354808508537567,655.2856833333333,1.0,8.75058
2D1,29.0,5.5760000000000005,SHWR,2.0,52.269999999999996,680.14,8.139999999999986,0.8405866411605293,1.6811732823210586,9.374222222222224,680.2329333333333,1.0,11.152000000000001
2D1,29.0,10.378,SHWR,1.916,52.269999999999996,680.4,8.399999999999977,0.8405866411605293,1.610564004463574,16.71443323832297,680.5729666666666,1.0,19.884248
2D5,29.0,9.833,SHWR,1.411,52.269999999999996,681.06,9.059999999999945,0.8405866411605293,1.1860677506775068,11.662604192411925,681.2238833333333,1.0,13.874363
2D5,29.0,6.5,SHWR,2.0,52.269999999999996,682.68,10.67999999999995,0.8405866411605293,1.6811732823210586,10.927626335086881,682.7883333333333,1.0,13.0
5D5,30.0,4.973,SHWR,2.0,52.2335,703.43,7.42999999999995,0.840679343280253,1.681358686560506,8.361396748265395,703.5128833333333,1.0,9.946
5D5,30.0,4.849,SHWR,2.0,52.2335,714.6,18.600000000000023,0.840679343280253,1.681358686560506,8.152908271131894,714.6808166666667,1.0,9.698
5D5,30.0,1.492,SHWR,1.42,52.2335,714.91,18.909999999999968,0.840679343280253,1.1937646674579592,1.7810968838472752,714.9348666666666,1.0,2.11864
5D5,30.0,4.476,SHWR,2.0,52.2335,714.96,18.960000000000036,0.840679343280253,1.681358686560506,7.525761481044825,715.0346000000001,1.0,8.952
